day,name,address,city,codes,map,
"Monday, 	7:00 AM",THE WAKE UP GROUP,Baptist Church  2070 Francisco Blvd.,Pacifica,,http://goo.gl/maps/lJm82,
"Tuesday, 	7:00 AM",THE WAKE UP GROUP,Baptist Church  2070 Francisco Blvd.,Pacifica,,http://goo.gl/maps/lJm82,
"Wednesday, 	7:00 AM",THE WAKE UP GROUP,Baptist Church  2070 Francisco Blvd.,Pacifica,,http://goo.gl/maps/lJm82,
"Thursday, 	7:00 AM",THE WAKE UP GROUP,Baptist Church  2070 Francisco Blvd.,Pacifica,,http://goo.gl/maps/lJm82,
"Friday, 	7:00 AM",THE WAKE UP GROUP,Baptist Church  2070 Francisco Blvd.,Pacifica,,http://goo.gl/maps/lJm82,
"Tuesday, 	12:00 PM",TUESDAY 12:00 NOON DISCUSSION,Baptist Church  2070 Francisco Blvd.,Pacifica,"D,H",http://goo.gl/maps/lJm82,
"Monday, 	6:00 PM",WOMEN'S Big Book Study,Baptist Church 2070 Francisco Blvd.,Pacifica,"C,W",http://goo.gl/maps/lJm82,
"Sunday, 	10:30 AM",Daily Reflections,Beach (weather permitting)	Hwy 1 & Crespi,Pacifica,H,"https://maps.google.com/maps?q=Hwy+1+%26+Crespi+Dr,+Pacifica,+CA&hl=en&sll=37.59441,-122.505884&sspn=0.018566,0.042014&oq=Hwy+1+and+Cre&hnear=California+1+%26+Crespi+Dr,+Pacifica,+San+Mateo,+California+94044&t=m&z=16",
"Sunday, 	11:00 AM",BRISBANE BREAKFAST MEETING,Brisbane Com Ctr 250 Visitation Ave.,Brisbane,"H,SP,Wh",http://goo.gl/maps/1IIuv,
"Saturday, 	7:30 PM",PENINSULA PRIME TIME,"Burlingame Methodist Church ""Primrose and Howard, enter gate left of 139 Primrose""",Burlingame,"H,Wh",http://goo.gl/maps/iOX63,
"Friday, 	7:00 AM",ATHERTON AA,Carriage House Holbrook Palmer Park 150 Watkins Rd,Atherton,H,http://goo.gl/maps/7jr4W,
"Sunday, 	9:00 AM",SUNDAY SPIRITUALITY,Carriage House Holbrook Palmer Park 150 Watkins Rd,Atherton,"H,B,SP,Wh",http://goo.gl/maps/7jr4W,
"Friday, 	12:00 PM",FRIDAY NOON BOOK STUDY,Central Peninsula Church 1005 Shell Blvd,Foster City,"H,L",http://goo.gl/maps/hJRr0,
"Wednesday, 	12:00 PM",THE OLD & THE NEW,Central Peninsula Church 1005 Shell Blvd,Foster City,"C,D,Wh",http://goo.gl/maps/hJRr0,
"Thursday, 	12:00 PM",COURAGE TO CHANGE,Church of Christ	603 Monte Diablo,San Mateo,"C,H",http://goo.gl/maps/0P5dM,
"Monday, 	7:00 PM",SAN CARLOS BEGINNERS,"Church of the Epiphany, Main Hall Arroyo & Cedar",San Carlos,H,http://goo.gl/maps/nDA3S,
"Thursday, 	8:00 PM",WE HAVE RECOVERED GROUP,"Church of the Epiphany, Main Hall Arroyo & Cedar",San Carlos,Wh,http://goo.gl/maps/nDA3S,
"Tuesday, 	7:30 PM",HILLSDALE GROUP,Church of the Transfig	39th & The Alameda,San Mateo,"SP,",http://goo.gl/maps/197kf,
"Sunday, 	9:00 AM",3RD & 11TH STEP,Coastal Repertory Theater 1167 Main Street,Half Moon Bay ,"H,L",http://goo.gl/maps/GoF7o,
"Monday, 	7:30 PM",NEWCOMERS & OLDTIMERS,Comm Center	Crespi & Hwy 1,Pacifica,H,http://goo.gl/maps/DqteW,
"Monday, 	5:30 PM",Foster City Living Sober Group,Community Center 1000 E. Hillsdale - 2nd Fl.,Foster City,"D,H,SP,",http://goo.gl/maps/Kf3xI,
"Tuesday, 	5:30 PM",Foster City Living Sober Group,Community Center 1000 E. Hillsdale - 2nd Fl.,Foster City,"H,L",http://goo.gl/maps/Kf3xI,
"Wednesday, 	5:30 PM",Foster City Living Sober Group,Community Center 1000 E. Hillsdale - 2nd Fl.,Foster City,"H,L",http://goo.gl/maps/Kf3xI,
"Thursday, 	5:30 PM",Foster City Living Sober Group,Community Center 1000 E. Hillsdale - 2nd Fl.,Foster City,"D,H,L",http://goo.gl/maps/Kf3xI,
"Friday, 	5:30 PM",Foster City Living Sober Group,Community Center 1000 E. Hillsdale - 2nd Fl.,Foster City,"D,H,L",http://goo.gl/maps/Kf3xI,
"Friday, 	7:30 PM",WALNUT GROUP,Community Church Arroyo & Elm,San Carlos,"H,Wh",http://goo.gl/maps/qjDr3,
"Wednesday, 	7:30 PM",SAN CARLOS AWARENESS GROUP,Community Church  Arroyo & Elm,San Carlos,"H,Wh",http://goo.gl/maps/qjDr3,
"Thursday, 	7:30 PM",PEN YP ALCOHOLIC WEEKEND GRP,Crystal Springs Methodist Church  2145 Bunker Hill Dr.,San Mateo,"H,YP,",http://goo.gl/maps/41h0p,
"Friday, 	7:30 PM",HIGHLANDERS,Crystal Springs Methodist Church 2145 Bunker Hill Dr.,San Mateo,"H,Wh",http://goo.gl/maps/41h0p,
"Friday, 	8:00 PM",WESTLAKE SPEAKER DISCUSSION,Dolger Sr Ctr. Rm 7	101 Lake Merced Bl.,Daly City,"D,Wh",http://goo.gl/maps/bRv7K,
"Sunday, 	11:30 AM",GRUPO LIBERDAD,Fairmont Rec. Ctr.	649 Park View Circle (off Hickey),Pacifica,E,http://goo.gl/maps/Md4O1,
"Sunday, 	7:00 PM",FOSTER CITY MEN’S SHARING GROUP,FC Rec Center 650 SHELL BL,Foster City,C,http://goo.gl/maps/0cs97,
"Saturday, 	10:00 AM",FOSTER CITY WOMEN’S MEETING,FC Rec Center 650 SHELL BL - Mist Rm,Foster City,W,http://goo.gl/maps/0cs97,
"Thursday, 	12:00 PM",CAME TO BELIEVE GROUP,Free at Last-bldg 3  1796 Bay Rd.,East Palo Alto,,http://goo.gl/maps/eHzVH,
"Tuesday, 	12:00 PM",LIVING SOBER,Free at Last-bldg 3  1796 Bay Road,East Palo Alto,H,http://goo.gl/maps/eHzVH,
"Monday, 	7:00 AM",Morning Serenity,Friendship Hall  416 2nd Ave,San Mateo,H,http://goo.gl/maps/tVDW6,
"Saturday, 	1:00 PM",JOY OF LIVING GROUP,Friendship Hall  416 2nd Ave,San Mateo,"H,Wh",http://goo.gl/maps/tVDW6,
"Tuesday, 	7:00 AM",Morning Serenity,Friendship Hall  416 2nd Ave,San Mateo,H,http://goo.gl/maps/tVDW6,
"Wednesday, 	7:00 AM",Morning Serenity,Friendship Hall  416 2nd Ave,San Mateo,,http://goo.gl/maps/tVDW6,
"Thursday, 	7:00 AM",Morning Serenity,Friendship Hall  416 2nd Ave,San Mateo,H,http://goo.gl/maps/tVDW6,
"Friday, 	7:00 AM",Morning Serenity,Friendship Hall  416 2nd Ave,San Mateo,H,http://goo.gl/maps/tVDW6,
"Saturday, 	7:00 AM",Morning Serenity,Friendship Hall  416 2nd Ave,San Mateo,,http://goo.gl/maps/tVDW6,
"Sunday, 	7:00 AM",Morning Serenity,Friendship Hall 416 2nd Ave.,San Mateo,H,http://goo.gl/maps/tVDW6,
"Tuesday, 	7:00 PM",STEPPING STONES GROUP,Good News Chapel  215 W. Orange Avenue,South SF,"H,L",http://goo.gl/maps/TfMo7,
"Wednesday, 	6:00 PM",ONE LINE AT A TIME,Good Shepherd  5th & O’Neill,Belmont,"H,L",http://goo.gl/maps/PvMhV,
"Thursday, 	12:00 PM",BURLINGAME MEN’S NOON MEETING,Good Shepherd Church   301 Burlingame,Burlingame,"H,Wh",http://goo.gl/maps/Y2gMf,
"Tuesday, 	8:00 PM",TUESDAY NITE GROUP,Good Shepherd Church   301 Burlingame,Burlingame,"DSP,",http://goo.gl/maps/Y2gMf,
"Monday, 	7:30 PM",ALKIE GULCH,Good Shepherd Church   5th & O’Neill,Belmont,D,http://goo.gl/maps/PvMhV,
"Tuesday, 	12:00 PM",BELMONT NOON GROUP,Good Shepherd Church   5th & O’Neill,Belmont,H,http://goo.gl/maps/PvMhV,
"Thursday, 	7:30 PM",DAY AT A TIME,Good Shepherd Church   5th & O’Neill,Belmont,H,http://goo.gl/maps/PvMhV,
"Friday, 	12:00 PM",SINGLENESS OF PURPOSE,Good Shepherd Church   5th & O’Neill,Belmont,H,http://goo.gl/maps/PvMhV,
"Monday, 	6:00 PM",12 @ 6 GROUP,Holy Cross Lutheran Church  1165 Seville,Pacifica,"C,H,L,Wh",http://goo.gl/maps/ig7HA,
"Friday, 	7:30 PM",PEDRO VALLEY SPEAKER DISCUSSION,Holy Cross Lutheran Church  1165 Seville,Pacifica,"DSP,Wh",http://goo.gl/maps/ig7HA,
"Tuesday, 	8:00 PM",HMB TUES NIGHT GROUP,Holy Family Episcopal Church	1590 S. Cabrillo Hwy,Half Moon Bay ,,http://goo.gl/maps/j4zSy,
"Friday, 	12:00 PM",FRIDAY NOON WOMENS GROUP,Holy Trinity Ch.	330 Ravenswood & Laurel,Menlo Park,"C,W,H",http://goo.gl/maps/N16Q9,
"Wednesday, 	7:30 PM",Big Book Study GROUP,Holy Trinity Church	Cedar & Manzanita,San Carlos,"H,L",http://goo.gl/maps/9O5FX,
"Friday, 	7:00 PM",GIFTS OF GRACE WOMEN'S,Holy Trinity Church	Cedar & Manzanita,San Carlos,"W,D,H",http://goo.gl/maps/9O5FX,
"Sunday, 	5:00 PM",SOBER SUNDAYS,Holy Trinity Church	Cedar & Manzanita,San Carlos,"D,H",http://goo.gl/maps/9O5FX,
"Tuesday, 	7:00 PM",STEPS TO FREEDOM,Holy Trinity Church	Cedar & Manzanita,San Carlos,"H,SP,L,Wh",http://goo.gl/maps/9O5FX,
"Saturday, 	5:00 PM",WOMEN’S DISCUSSION,Holy Trinity Church	Cedar & Manzanita (NEW LOCATION),San Carlos,"W,D,H,L",http://goo.gl/maps/9O5FX,
"Monday, 	12:10PM ",MONDAY HAPPY HOUR,"Holy Trinity Church	Ravenswood & Laurel, Tierney Rm.",Menlo Park,"C,D,H,Wh",http://goo.gl/maps/N16Q9,
"Monday, 	7:00 PM",MEN'S R4D BB and 12+12 Step Study,Holy Trinity Church (in Library)	Ravenswood & Pine,Menlo Park,"H,L,M",http://goo.gl/maps/N16Q9,
"Friday, 	7:30 PM",FIRESIDE GROUP,Hope Lutheran Church	 42nd & The Alameda,San Mateo,"H,SP,Wh",http://goo.gl/maps/NHBb4,
"Monday, 	7:30 PM",MID-PENINSULA WOMENS GROUP,Hope Lutheran Church	 42nd & The Alameda,San Mateo,"C,W,H",http://goo.gl/maps/NHBb4,
"Tuesday, 	7:30 PM",ESTO ES AA,Iglesia San Timoteo	1515 Dolan Ave,San Mateo,E,http://goo.gl/maps/P94Hk,
"Thursday, 	7:30 PM",ESTO ES AA,Iglesia San Timoteo	1515 Dolan Ave,San Mateo,E,http://goo.gl/maps/P94Hk,
"Friday, 	7:30 PM",ESTO ES AA,Iglesia San Timoteo	1515 Dolan Ave,San Mateo,E,http://goo.gl/maps/P94Hk,
"Friday, 	8:00 PM",FRIDAY NIGHT ACCEPTANCE GROUP,Kaiser Hospital  1200 El Camino-2nd Fl,South SF,"D,SP,Wh",http://goo.gl/maps/ceZpw,
"Saturday, 	8:00 PM",THE SEWER GROUP,"Kaiser Hospital 	1150 Veterans Bl., Cyprus Bldg. Conf. Rom 2",Redwood City,"D,H,Wh",http://goo.gl/maps/eHcXL,
"Thursday, 	8:00 PM",MIDWAY SOUTH SF GROUP ,Kaiser Hospital 1200 El Camino,South SF,"H,Wh",http://goo.gl/maps/ceZpw,
"Thursday, 	8:15 PM",THE IRREGULARS,"Kaiser Hospital Maple & Veterans, Cypress Bldg. Rm A B or C",Redwood City,"C,D",http://goo.gl/maps/eHcXL,
"Thursday, 	7:00 PM",LA HONDA GROUP,"La Honda Elem. School  450 Sears Ranch Road, Room #3 (in school library)",La Honda,"D,H",http://goo.gl/maps/NBHvU,
"Tuesday, 	7:30 PM",CHIPS AHOY',Ladera Comm. Church	3300 Alpine Rd.,Portola Valley ,"C,H,L",http://goo.gl/maps/74mPK,
"Monday, 	7:30 PM",LADERA MON NITE GRP,Ladera Comm. Church	3300 Alpine Rd.,Portola Valley ,,http://goo.gl/maps/74mPK,
